Data,ValorTotal
2025-07-16,44484.47895662957
2025-07-17,44911.10150626017
2025-07-18,44727.56330308948
2025-07-19,44756.318408333485
2025-07-20,45133.54711353332
2025-07-21,46104.591795712
2025-07-22,46720.6038909013
2025-07-23,45672.352025560336
2025-07-24,44958.12730610008
2025-07-25,45193.99087642768
2025-07-26,45132.38910515616
2025-07-27,45615.29580524537
2025-07-28,45158.458335912765
2025-07-29,45227.45813262409
2025-07-30,45184.81916710002
2025-07-31,44496.79586488559
2025-08-01,43412.09349136988
2025-08-02,42992.389154321005
2025-08-03,43445.939550690935
2025-08-04,43953.3982992154
2025-08-05,43331.21793682906
2025-08-06,43806.36899358076
2025-08-07,44652.01391676164
2025-08-08,44422.56651055421
2025-08-09,44867.162089244266
2025-08-10,45232.22902364086
2025-08-11,44732.02294324054
2025-08-12,46388.066573026364
2025-08-13,47029.30982941744
2025-08-14,45812.56190248456
2025-08-15,45312.74079325592
2025-08-16,45523.10446468082
2025-08-17,45646.55201318139
2025-08-18,44992.24118006815
2025-08-19,43826.90695906459
2025-08-20,45168.21719018997
2025-08-21,44354.43755743674
2025-08-22,46905.104119904776
2025-08-23,46901.52405558919
2025-08-24,46853.04740485298
2025-08-25,44929.43917921516
2025-08-26,45676.895427929696
2025-08-27,46167.678773976775
2025-08-28,47034.571004245896
2025-08-29,46006.32849037829
2025-08-30,45925.99946307056
2025-08-31,45788.70835594618
2025-09-01,45677.59363238474
2025-09-02,46436.80600386112
2025-09-03,46726.71779924094
2025-09-04,46053.577797447135
2025-09-05,46137.66694387005
2025-09-06,45890.1512612613
2025-09-07,46339.73691786955
2025-09-08,46658.920707570695
2025-09-09,46840.98413689503
2025-09-10,47551.0742691196
2025-09-11,47975.95135564926
2025-09-12,48822.70048278319
2025-09-13,48775.53671876484
2025-09-14,48558.70877069391
2025-09-15,48058.30814658172
2025-09-16,48141.66242362091
2025-09-17,48740.110564421615
2025-09-18,49002.11906282888
2025-09-19,48273.14312853557
2025-09-20,48342.96917886005
2025-09-21,48117.0293418541
2025-09-22,46922.0716112271
2025-09-23,46616.91597470567
2025-09-24,46420.60845434725
2025-09-25,44891.69557874902
2025-09-26,45997.40348782803
2025-09-27,45881.53979129421
2025-09-28,46593.40087727153
2025-09-29,46904.81090617577
2025-09-30,46408.77561585888
2025-10-01,47568.7410330635
2025-10-02,48479.64794268584
2025-10-03,48614.30770913775
2025-10-04,48332.86166855635
2025-10-05,48479.86225851478
2025-10-06,48804.300185464585
2025-10-07,47373.45861885154
2025-10-08,48336.55306784345
2025-10-09,47489.22026856126
2025-10-10,44528.50373868695
2025-10-11,43664.52929587946
2025-10-12,45507.48525469536
2025-10-13,47024.00079003775
2025-10-14,47024.00079003775
